,video_id,video_title,video_date,comment_text,comment_date
53,XiCkE4uRg70,"Pantas Nantangin Publik Pakai Rompi &quot;Mulyono&quot;, Tabiat Buruk Kaesang Pangarep Sempat Diungkap Guru SM",2024-09-26T09:11:44Z,keluarga paling dipuja dan paling dibenci se indonesia.,2024-09-26T09:48:40Z
54,XiCkE4uRg70,"Pantas Nantangin Publik Pakai Rompi &quot;Mulyono&quot;, Tabiat Buruk Kaesang Pangarep Sempat Diungkap Guru SM",2024-09-26T09:11:44Z,Muke songong,2024-09-26T09:48:10Z
55,XiCkE4uRg70,"Pantas Nantangin Publik Pakai Rompi &quot;Mulyono&quot;, Tabiat Buruk Kaesang Pangarep Sempat Diungkap Guru SM",2024-09-26T09:11:44Z,Merasa sakti kebal hukum,2024-09-26T09:29:28Z
,video_id,video_title,video_date,comment_text,comment_date
0,kqtD5dpn9C8,Python for Beginners - Learn Python in 1 Hour,2020-09-16T13:00:20Z,"🔥Want to master Python? Get my Python mastery course: https://mosh.link/python-course
    - English edition: https://mosh.link/python-course
    - Hindi (हिन्दी) edition: https://mosh.link/python-course-hindi
📕Get my FREE Python cheat sheet: https://mosh.link/python-cheatsheet
⭐Python Projects for Beginners: https://youtu.be/yVl_G-F7m8c?si=11emtFyDccTKCGn7
👍Subscribe for more Python tutorials like this: https://goo.gl/6PYaGF",2022-03-07T23:14:30Z
1,kqtD5dpn9C8,Python for Beginners - Learn Python in 1 Hour,2020-09-16T13:00:20Z,Lorenzo Centers,2024-09-29T13:12:35Z
2,kqtD5dpn9C8,Python for Beginners - Learn Python in 1 Hour,2020-09-16T13:00:20Z,Garcia Mark Rodriguez Sarah Martinez Ruth,2024-09-29T12:50:02Z
3,kqtD5dpn9C8,Python for Beginners - Learn Python in 1 Hour,2020-09-16T13:00:20Z,"So, on 29 September 2024, I watched this video, downloaded some courses from udemy and after i go through  them so I have a basic idea of how programing works, I'll buy the course, maybe 2-3 more, so I can get a certificate and I'll try to find work in the IT industry.
Will update in a year or if some major thing happens sooner.",2024-09-29T12:18:12Z
4,kqtD5dpn9C8,Python for Beginners - Learn Python in 1 Hour,2020-09-16T13:00:20Z,"exercise

Weight = float(input(""Weight? ""))
kilobilo = input((""Kilo or Pound? ""))

if kilobilo == ""K"" or kilobilo == ""k"":
    print(Weight * 0.453592)
elif kilobilo == ""L"" or kilobilo == ""l"":
    print(Weight)

this is the attempt i tried on the exercise, zit good?",2024-09-29T11:58:35Z
5,kqtD5dpn9C8,Python for Beginners - Learn Python in 1 Hour,2020-09-16T13:00:20Z,Kessler Branch,2024-09-29T09:08:11Z
6,kqtD5dpn9C8,Python for Beginners - Learn Python in 1 Hour,2020-09-16T13:00:20Z,"age = 20

first_name = ""josh""
last_name =""smith""
status = (""new_patient"")
print(age)
print(last_name)
print(first_name)
print(status)",2024-09-29T07:08:53Z
7,kqtD5dpn9C8,Python for Beginners - Learn Python in 1 Hour,2020-09-16T13:00:20Z,Ford Vista,2024-09-29T06:46:10Z
8,kqtD5dpn9C8,Python for Beginners - Learn Python in 1 Hour,2020-09-16T13:00:20Z,"Name = John Smith 
Age = 20
time = new",2024-09-29T04:41:23Z
9,kqtD5dpn9C8,Python for Beginners - Learn Python in 1 Hour,2020-09-16T13:00:20Z,Gianni Turnpike,2024-09-29T03:17:44Z
10,_uQrJ0TkZlc,Python Tutorial - Python Full Course for Beginners,2019-02-18T15:00:08Z,"🔥Want to master Python? Get my Python mastery course: https://mosh.link/python-course
    - English edition: https://mosh.link/python-course
    - Hindi (हिन्दी) edition: https://mosh.link/python-course-hindi
📕Get my FREE Python cheat sheet: https://mosh.link/python-cheatsheet
⭐Python Projects for Beginners: https://youtu.be/yVl_G-F7m8c?si=11emtFyDccTKCGn7
👍Subscribe for more Python tutorials like this: https://goo.gl/6PYaGF",2024-08-02T16:03:17Z
11,_uQrJ0TkZlc,Python Tutorial - Python Full Course for Beginners,2019-02-18T15:00:08Z,Thank you! Great course!,2024-09-29T11:58:04Z
